cve_ageb,ubica_geo,records,points,nse,est_socio
073-6,250100014,14707,95.20724487304688,D+,2.3510573
073-A,230040001,8575,91.55696868896484,D+,2.0
074-0,090140001,10920,167.0,C+,4.0
074-1,090050001,17040,173.6666717529297,C+,4.0
074-2,110420001,6412,65.0,D,2.0
074-3,090130001,16955,97.80000305175781,D+,2.0
074-4,220060001,4175,170.8000030517578,C+,4.0
074-5,250120001,5264,81.75,D+,2.0
074-6,060020001,1175,149.1999969482422,C,3.0
074-7,180150052,16500,76.55000305175781,D,2.0
075-2,060100001,1800,102.5999984741211,D+,2.0
075-3,071010001,14060,157.60000610351562,C+,3.0
075-5,310960509,16960,38.5,D,1.0
075-6,180170001,2945,77.4000015258789,D,2.0
075-8,110070001,9870,91.5999984741211,D+,2.0
075-9,230040001,3712,164.0,C+,4.0
076-0,180170001,7348,84.23040008544922,D+,2.33043
076-1,060070001,14641,89.78839874267578,D+,2.182433
076-2,190180001,48348,82.38888549804688,D+,2.0
076-4,110200001,32341,117.8125,C-,2.527844
076-6,300870001,13285,71.19999694824219,D,2.0
076-7,060100001,3475,119.31884765625,C-,3.5064747
076-9,110170001,24123,71.99581146240234,D,1.7421962
077-4,200670001,23656,110.36489868164062,C-,2.5662835
077-6,270040001,1120,85.0,D+,2.0
077-7,080620022,31500,102.66666412353516,D+,2.0
078-0,230010001,10692,81.16666412353516,D+,2.0
078-6,060100001,1585,87.5999984741211,D+,2.0
078-7,090110021,48132,126.88057708740234,C-,2.1922214
078-8,110170001,17664,107.1067123413086,C-,2.0
078-9,200670001,26222,77.4037094116211,D,1.466021
078-A,180170001,2276,88.5,D+,2.0
079-0,080170001,9670,132.1999969482422,C,3.0
079-2,140530001,45832,132.76470947265625,C,3.0
079-9,010010001,2348,140.75,C,3.0
079-A,180150081,13091,80.68421173095703,D+,2.0
080-0,240350001,6220,71.5,D,2.0
080-1,110270001,13076,157.5,C+,4.0
080-2,090030001,47210,81.08299255371094,D+,2.0
080-6,090140001,9928,106.0,C-,4.0
080-7,180170001,2628,78.5,D,2.0
081-0,090140001,44443,90.93146514892578,D+,2.2387328
081-2,190480001,10868,110.53266143798828,C-,3.0
081-3,170110001,5995,102.5999984741211,D+,2.0
081-6,220140001,2288,175.5,C+,4.0
081-7,150310001,44160,85.57789611816406,D+,2.317029
081-A,230020001,23526,101.71210479736328,D+,2.0
082-5,280410001,9500,119.0,C-,3.0
082-7,270040001,1330,96.5999984741211,D+,2.0
083-0,050180001,18355,130.59727478027344,C,2.9975483
083-1,120350001,10154,149.73960876464844,C,3.0
083-2,170060001,12861,102.86587524414062,D+,2.5664413
083-4,140670001,8752,106.5,C-,3.0
083-5,220140001,5150,82.0,D+,2.0
083-6,211560001,26455,139.62362670898438,C,3.0
083-9,120570086,35920,93.87059783935547,D+,1.1329621
084-4,100360001,20200,89.5,D+,2.0
084-6,270040001,1660,126.19999694824219,C-,3.0
084-7,170060001,8136,99.30088806152344,D+,2.0
084-9,110200001,20004,159.0284881591797,C+,3.5133474
084-A,060020001,13949,99.58993530273438,D+,2.1236649
085-0,050350001,71273,84.77969360351562,D+,2.0943975
085-1,150570001,73000,94.62142181396484,D+,2.1258905
085-9,020010001,18235,133.46871948242188,C,3.0
086-3,260030150,7512,45.75,D,1.0
086-5,190060001,12400,114.0,C-,3.0
086-6,150570001,43741,86.81548309326172,D+,2.0
086-9,060020001,14896,129.3270721435547,C,3.0
086-A,180200053,3655,130.1764678955078,C,3.0
087-0,290330012,2286,137.0,C,4.0
087-7,110170001,7845,179.3333282470703,C+,3.0
087-8,260030274,15024,72.375,D,1.0
087-9,250170026,26505,106.9473648071289,C-,2.0
087-A,270040001,1630,116.4000015258789,C-,2.0
088-3,050180001,41201,85.27616119384766,D+,1.8584986
088-4,270040001,2435,78.4000015258789,D,2.0
088-5,150200001,91083,105.60404205322266,C-,3.6249135
088-7,140670001,16110,89.80000305175781,D+,2.0
088-8,010010001,6948,98.89636993408203,D+,2.0
088-A,190460001,12345,137.60000610351562,C,3.0
089-0,120380023,48367,87.77984619140625,D+,1.769781
089-1,240350001,18066,107.74498748779297,C-,2.613362
089-2,010010001,6986,120.28657531738281,C-,2.2756941
089-4,060100001,4040,152.60000610351562,C,4.0
089-5,160530001,10120,120.5999984741211,C-,3.0
089-7,150580001,21956,120.75,C-,2.0
089-9,060070001,12948,90.79610443115234,D+,2.733395
089-A,190390001,13275,159.60000610351562,C+,4.0
090-0,090050001,23785,97.58137512207031,D+,3.0
090-1,230010001,12006,120.55555725097656,C-,2.0
090-2,190390001,11425,140.60000610351562,C,4.0
090-8,100070001,38325,78.48456573486328,D,2.0
090-A,140390001,17625,96.4000015258789,D+,2.0
091-0,211560001,15495,87.80000305175781,D+,2.0
091-4,310960001,21618,72.66666412353516,D,2.0
091-6,270040001,3630,85.23471069335938,D+,2.0
091-7,170110009,3485,106.0,C-,3.0
091-A,010010001,18560,139.47305297851562,C,4.0
092-0,270040001,2160,123.0,C-,2.0
092-5,060090001,5415,72.31578826904297,D,2.0
092-6,080170001,6573,87.33333587646484,D+,3.0
092-A,050180001,5696,92.0,D+,2.0
093-0,060100001,13456,136.97918701171875,C,4.0
093-1,141010001,12184,98.0,D+,3.0
093-4,230050001,4665,97.0,D+,2.0
093-6,290330014,2635,100.0,D+,2.0
093-8,150700005,21908,75.5,D,2.0
093-9,010010001,1860,150.6666717529297,C,4.0
093-A,300870001,11532,79.0,D,2.0
094-6,100070001,3745,122.5999984741211,C-,2.0
094-8,090140001,36986,83.2911376953125,D+,1.9872925
094-9,050180001,7045,104.0,D+,2.0
095-1,300390001,9536,130.0,C,2.0
095-3,250170153,16324,73.07142639160156,D,1.0
095-5,170110001,2844,121.0,C-,3.0
096-4,060100001,1332,142.3333282470703,C,4.0
096-6,110170001,8352,100.75,D+,2.0
096-7,150580001,19948,93.25,D+,2.0
096-8,230050001,4900,111.19999694824219,C-,3.0
096-9,050350001,6935,124.19999694824219,C-,3.0
097-2,180170001,6204,135.56625366210938,C,3.0
097-3,190480001,9200,116.0,C-,3.0
097-7,030080054,8854,116.15789794921875,C-,3.0
097-A,090110026,29195,102.91132354736328,D+,2.3627334
098-1,030080054,7463,114.88235473632812,C-,4.0
098-2,100040011,23824,100.9330062866211,D+,2.0
098-4,090110001,12288,161.3333282470703,C+,3.0
098-6,280410001,10120,126.5999984741211,C-,3.0
098-9,230080001,8055,101.12861633300781,D+,3.2501552
098-A,080320001,4155,69.0,D,3.0
099-0,220160001,4880,102.5999984741211,D+,2.0
099-1,090050001,14865,92.4000015258789,D+,2.0
099-6,030080054,6498,109.27777862548828,C-,2.0
099-7,090030001,21030,103.79048919677734,D+,2.3176415
099-8,190460001,11275,116.5999984741211,C-,3.0
099-9,301080001,13490,151.39999389648438,C,3.0
100-0,060020001,33950,87.93814086914062,D+,2.9422681
100-1,090030001,16270,87.4000015258789,D+,2.0
100-2,270020001,9690,97.10526275634766,D+,2.0
100-3,150130001,21839,86.00814819335938,D+,2.0
100-4,300390001,9112,87.25,D+,3.0
100-7,270040123,14680,90.11478424072266,D+,2.0
101-0,230050001,4180,113.5999984741211,C-,3.0
101-2,260180001,5484,97.5,D+,3.0
101-6,300870001,12990,103.5999984741211,D+,2.0
101-7,240130001,4239,88.66666412353516,D+,3.0
101-A,200670001,22490,95.09683990478516,D+,2.0
102-2,150810019,28912,82.75,D+,4.0
102-3,151060001,17372,200.0,AB,4.0
102-5,040040001,11384,81.4554672241211,D+,2.0
102-7,280090001,6390,129.0,C,3.0
103-5,040020001,2335,97.4000015258789,D+,2.0
103-7,071010001,7835,127.4000015258789,C-,2.0
103-A,090050001,13585,77.19999694824219,D,2.0
104-3,020010001,25110,72.66451263427734,D,2.0
104-4,050180001,5456,96.25,D+,3.0
104-8,090160001,19872,229.6666717529297,AB,4.0
105-0,230080001,3292,117.0,C-,2.0
105-5,190460001,11540,151.1999969482422,C,4.0
105-6,150130001,34030,126.66447448730469,C-,2.6553042
105-8,020010001,10890,120.4000015258789,C-,2.0
105-A,190060001,10088,100.3043212890625,D+,2.8433783
106-0,050240001,80350,132.0546112060547,C,2.9415805
106-1,151060001,21988,100.25,D+,3.0
106-2,170070001,4915,129.0,C,3.0
106-3,280320001,4984,128.0,C,2.0
106-5,290330016,2610,99.5999984741211,D+,2.0
106-7,110200001,21075,76.2546615600586,D,2.0
106-8,060020001,6696,140.6775665283203,C,3.2764337
106-9,040020001,1566,139.6666717529297,C,3.0
106-A,060100001,14372,73.25584411621094,D,2.0
107-1,151040001,32187,112.28837585449219,C-,2.0
107-3,040020001,1976,79.0,D,2.0
107-7,170070001,11864,99.68577575683594,D+,2.0
107-8,250170595,23085,70.36842346191406,D,2.0
108-1,280410001,9855,83.4000015258789,D+,2.0
108-2,050180001,6960,95.0,D+,3.0
108-3,270040001,1885,143.60000610351562,C,2.0
108-4,090130001,21705,102.4000015258789,D+,3.0
108-7,151210001,27768,112.75,C-,3.0
108-A,100070123,15466,58.73684310913086,D,2.0
109-1,260430001,5640,72.0,D,2.0
109-3,090150001,17468,107.12205505371094,C-,3.0
109-4,100070001,11695,121.88362884521484,C-,2.3668234
109-5,020050001,37829,126.15789794921875,C-,2.0
109-7,140980001,17957,126.46722412109375,C-,2.878209
109-8,270040001,2960,89.81993103027344,D+,2.0
109-9,190390001,7752,140.0,C,3.0
110-0,270040001,2072,120.04729461669922,C-,2.4256756
110-1,230080001,2972,92.25,D+,2.0
110-3,150700019,18120,117.25,C-,2.0
110-5,260290001,6895,117.80000305175781,C-,3.0
110-7,071010001,16400,126.31780242919922,C-,2.9556098
110-8,301930001,14320,160.60000610351562,C+,4.0
110-A,180170001,2376,114.0,C-,2.0
111-0,090150001,21799,112.15413665771484,C-,3.0
111-1,301080001,13325,99.80000305175781,D+,2.0
111-3,150580001,30875,122.0,C-,2.0
111-5,270040001,1857,128.7770538330078,C,2.2084007
112-1,040030001,2320,94.4000015258789,D+,2.0
112-3,060020001,7644,73.74333190917969,D,2.0
112-4,090030001,17388,101.25,D+,2.0
112-6,141010001,11856,108.66666412353516,C-,2.0
112-8,170070001,3510,95.5999984741211,D+,3.0
112-9,180170001,2304,130.5,C,3.0
113-1,320560001,5380,188.75,C+,4.0
113-3,150540049,36644,143.5,C,4.0
113-5,110070001,11844,129.41590881347656,C,2.8125634
113-9,300870001,8428,92.5,D+,3.0
114-1,190260001,11360,100.5999984741211,D+,3.0
114-3,040020001,1166,177.5,C+,3.0
114-9,090170001,20251,164.5176544189453,C+,3.0
115-2,180170001,1653,177.3333282470703,C+,4.0
115-5,040030001,2420,100.19999694824219,D+,2.0
115-6,161020001,10445,87.80000305175781,D+,2.0
115-7,220140001,5140,121.5999984741211,C-,3.0
115-8,090030001,29500,88.36752319335938,D+,2.0
115-9,090150001,19755,99.0,D+,3.0
115-A,161080001,7472,122.25,C-,2.0
116-0,280380001,6072,146.6666717529297,C,3.0
116-4,100070001,2936,103.0,D+,2.0
116-6,080370001,23202,86.74825286865234,D+,2.0
116-7,280320001,7196,117.75,C-,2.0
116-A,040030001,2770,93.80000305175781,D+,2.0
117-2,190480001,12237,106.83467864990234,C-,2.1408842
117-3,170110001,3072,151.3333282470703,C,4.0
117-8,240130001,6564,105.25,C-,2.0
118-0,151210001,48061,105.88847351074219,C-,2.6262875
118-4,300390001,12295,90.0,D+,2.0
118-5,170070123,20824,77.63157653808594,D,2.0
118-7,050350001,7105,113.5999984741211,C-,3.0
118-8,260180001,7980,114.5999984741211,C-,2.0
119-1,270040001,1244,172.5,C+,3.0
119-2,110070001,24332,110.15152740478516,C-,2.6024988
119-5,060020001,1212,81.0,D+,2.0
120-0,160530001,8865,105.5999984741211,C-,3.0
120-2,130510029,5510,86.5999984741211,D+,2.0
120-3,150540049,41725,99.07649993896484,D+,3.8387537
120-4,270040001,2689,117.22685241699219,C-,2.5894384
120-6,320420176,19475,72.0,D,2.0
121-1,090160001,10006,136.493408203125,C,3.3110135
121-2,090120001,13624,81.25,D+,2.0
121-8,090100001,21752,219.1922607421875,AB,4.0
121-9,060070001,6232,113.83440399169922,C-,2.6534019
121-A,110070001,9305,96.19999694824219,D+,2.0
122-2,100320001,54125,85.7386245727539,D+,2.0231133
122-5,141200001,4010,141.0,C,4.0
122-7,050250001,18185,156.79647827148438,C+,3.5980203
122-8,040020001,3155,118.4000015258789,C-,3.0
122-A,161080001,13395,115.4000015258789,C-,2.0
123-0,280220001,7795,140.0,C,2.0
123-4,071010001,11992,89.04269409179688,D+,2.6804535
123-5,110170001,12908,107.0,C-,3.0
123-6,140390001,23801,106.77958679199219,C-,3.2544432
123-7,180170001,2432,110.0,C-,3.0
123-8,270040001,1932,205.5,AB,4.0
123-9,260180001,5412,113.75,C-,3.0
124-1,280270001,6376,95.5,D+,3.0
124-4,120010001,10030,63.0,D,2.0
124-5,120290001,16103,112.46189880371094,C-,3.4511583
125-6,151090003,38330,107.6700210571289,C-,2.905557
125-7,060070001,18779,107.94461822509766,C-,3.4292562
125-A,120290001,7473,117.66666412353516,C-,3.0
126-0,090050001,13580,112.0497817993164,C-,2.5301914
126-2,230080001,3260,82.75,D+,2.0
126-3,040030001,3757,143.90577697753906,C,1.661432
126-4,150700040,32982,81.8537368774414,D+,2.3829362
126-A,170070001,3368,101.5,D+,3.0
127-0,150310001,16252,70.75,D,1.0
127-2,150130001,26084,103.25,D+,3.0
127-5,230050001,2940,102.75,D+,2.0
127-6,070890001,13507,99.53861236572266,D+,2.0
127-9,190310001,7776,85.25,D+,2.0
128-0,120350001,4923,118.76477813720703,C-,2.0
128-4,050300001,7160,168.75,C+,4.0
128-5,040020001,2715,100.30018615722656,D+,2.5303867
128-6,270020001,6205,132.64706420898438,C,3.0
128-8,110170061,40540,55.099998474121094,D,1.0
128-9,220160001,16005,126.96044921875,C-,3.4423618
129-1,071010001,12065,155.1999969482422,C+,2.0
129-3,170070001,12060,115.22189331054688,C-,3.0
129-8,280380001,6186,83.66666412353516,D+,2.0
129-9,010010001,26470,114.74933624267578,C-,3.0555346
130-0,190260001,9432,110.5,C-,3.0
130-1,050300001,6720,112.5999984741211,C-,3.0
130-2,040020001,14135,94.09869384765625,D+,3.0
130-4,141010001,19265,86.0,D+,2.0
130-6,220160001,13075,110.69499206542969,C-,2.2539196
130-7,090050001,50054,112.00753021240234,C-,3.319535
130-8,190480001,9792,100.5,D+,4.0
130-9,190390001,6952,103.75,D+,3.0
131-1,180170001,14641,101.30284881591797,D+,2.1929512
131-2,090170001,16312,110.75,C-,3.0
131-4,120010001,7320,80.80000305175781,D+,2.0
131-5,110200001,32586,150.42864990234375,C,2.9305222
131-6,220140001,3932,172.0,C+,4.0
132-0,010010001,5840,103.01044464111328,D+,2.0
132-6,050180001,6104,90.75,D+,3.0
132-7,060070001,3390,111.83716583251953,C-,2.5044248
133-1,060070001,3216,109.03917694091797,C-,3.5597014
133-4,140930001,71982,105.05555725097656,C-,3.0
133-5,220140108,12578,73.89473724365234,D,2.0
133-6,211560001,10455,80.80000305175781,D+,2.0
134-0,040020001,2640,131.0,C,3.0
134-2,160530001,12315,96.19999694824219,D+,2.0
134-3,280030122,7540,86.25,D+,2.0
134-6,070890001,22985,93.91263580322266,D+,2.462258
135-0,050350001,3609,123.66666412353516,C-,3.0
135-4,060020001,3831,93.57634735107422,D+,2.0
135-5,090030001,26870,162.60000610351562,C+,4.0
135-6,080170143,5740,130.75,C,2.0
135-9,170070001,6880,102.7997055053711,D+,2.0
136-0,080170066,20090,108.21428680419922,C-,2.0
136-4,090100001,21432,102.0268783569336,D+,2.2586787
136-5,270040001,1760,100.5999984741211,D+,2.0
136-6,090130001,16850,159.1999969482422,C+,2.0
136-9,060020001,18520,100.75005340576172,D+,2.0
136-A,150310001,29615,84.5999984741211,D+,2.0
137-2,161020001,4162,72.5,D,2.0
137-3,010010001,1698,105.66666412353516,C-,3.0
137-6,090110001,10128,100.33333587646484,D+,3.0
137-8,170070001,7936,110.2077865600586,C-,2.4904234
138-0,150130001,23190,78.80000305175781,D,2.0
138-1,280030122,9700,94.0,D+,2.0
138-3,180170001,14673,92.44142150878906,D+,2.411504
138-5,150570001,21534,147.0,C,4.0
138-7,280380001,10305,126.0,C-,3.0
138-8,090070001,15575,69.4000015258789,D,2.0
138-9,040020001,7698,110.80410766601562,C-,2.0
139-2,030080304,6804,101.44444274902344,D+,2.0
139-5,190210001,12380,93.75,D+,4.0
139-7,150580001,32905,73.19999694824219,D,2.0
139-8,180170001,2960,151.8000030517578,C,3.0
139-9,120350001,6632,73.75,D,1.0
139-A,150570001,32084,115.95841979980469,C-,2.684952
140-3,040030001,2610,117.5999984741211,C-,2.0
140-5,010010001,13805,116.89286804199219,C-,2.4686708
140-6,211560014,37782,64.33333587646484,D,1.0
140-8,071010001,13225,76.80000305175781,D,2.0
140-9,300390001,10775,65.4000015258789,D,2.0
141-1,090150001,21964,136.0,C,4.0
141-4,140390001,14331,108.68683624267578,C-,2.6399415
141-7,190390001,11908,212.92996215820312,AB,4.0
141-9,161020001,9520,91.0,D+,2.0
142-1,260180001,18988,104.3109359741211,D+,2.0
142-2,230040267,9503,64.29412078857422,D,1.0
142-3,130480001,16757,118.05484008789062,C-,2.4824848
142-4,060020001,1221,119.33333587646484,C-,2.0
143-1,090110001,24624,115.11639404296875,C-,2.7361922
143-5,190060001,18928,176.96058654785156,C+,4.0
143-8,110200001,20274,141.08612060546875,C,3.0
143-9,010010001,10369,140.88186645507812,C,3.532356
144-1,040030081,47896,81.98101806640625,D+,1.8808669
144-7,301930001,11135,122.0,C-,3.0
144-A,020040001,13310,104.62659454345703,D+,3.0
145-0,071010001,12845,97.69863891601562,D+,2.3242507
145-3,090100001,19781,96.69900512695312,D+,2.3526616
145-4,020040001,15195,95.00513458251953,D+,2.5462322
145-7,250120001,12764,145.8295135498047,C,3.5499842
146-1,280220001,10190,107.0,C-,2.0
146-2,220140107,4965,64.0,D,2.0
146-4,080170018,29507,106.89473724365234,C-,2.0
146-5,090110001,15126,110.33333587646484,C-,4.0
146-9,060070001,2200,155.0,C+,4.0
147-1,080370001,39151,103.04063415527344,D+,2.8117545
147-2,230050001,4055,95.80000305175781,D+,2.0
147-3,060070001,13315,69.85557556152344,D,1.2865189
147-4,090130001,13424,117.25,C-,2.0
147-8,211560001,7194,77.66666412353516,D,2.0
147-A,190210001,9730,91.0,D+,2.0
148-1,050250001,7800,97.75,D+,4.0
148-2,040020001,2192,108.25,C-,2.0
148-3,090150001,20400,108.19999694824219,C-,3.0
148-7,150330001,19040,98.75,D+,2.0
148-8,190060001,23010,100.44632720947266,D+,3.0
149-0,130510124,38030,105.01782989501953,C-,3.2260058
149-2,270040001,612,62.0,D,2.0
149-5,120290001,11226,92.73196411132812,D+,1.3971138
150-2,151060079,36410,97.95380401611328,D+,2.2241142
150-3,080370001,7696,88.0,D+,2.0
150-4,280320001,7232,135.75,C,3.0
150-5,270040001,996,140.0,C,3.0
150-9,090120001,21850,97.5999984741211,D+,2.0
151-5,190460001,8388,133.75,C,4.0
151-9,090100001,16520,112.0,C-,3.0
152-2,170070125,4324,148.25,C,3.0
152-3,230050001,7828,107.7362060546875,C-,2.5498211
152-4,190060001,12112,112.14299774169922,C-,2.2001321
153-1,130480001,5200,98.0,D+,2.0
153-3,211140001,23223,100.86991119384766,D+,2.0
153-9,060070001,23014,119.06448364257812,C-,3.0453637
153-A,230080001,2601,70.0,D,2.0
154-2,310500001,3309,195.3333282470703,AB,4.0
154-6,120290001,6752,99.5,D+,1.0
155-6,200670001,5430,108.33333587646484,C-,2.0
155-7,230050001,2697,138.3333282470703,C,3.0
155-9,230080001,4385,92.19999694824219,D+,2.0
155-A,080110001,36600,91.75,D+,3.0
156-0,170070001,16271,123.90522766113281,C-,2.6966996
156-1,050020001,5440,114.5,C-,2.0
156-2,060070001,16068,74.92326354980469,D,2.0
156-6,090120001,30440,133.5189208984375,C,3.0
156-7,040020001,1677,146.3333282470703,C,3.0
157-0,030080054,28275,87.45584106445312,D+,2.0
157-6,140980001,14796,115.5,C-,2.0
157-7,050350001,5120,127.5999984741211,C-,3.0
158-2,230080001,3635,162.39999389648438,C+,2.0
158-4,120290001,8012,82.75,D+,2.0
158-5,151210001,32100,157.0,C+,3.0
159-6,020040001,8160,110.80000305175781,C-,2.0
159-9,161020001,29715,109.92606353759766,C-,2.5808513
160-5,141010001,23296,106.54751586914062,C-,3.2462225
160-7,050270001,12450,90.4000015258789,D+,2.0
160-8,151090003,37388,93.8725814819336,D+,3.837167
160-9,190060001,11635,112.19999694824219,C-,3.0
160-A,230080001,3512,126.75,C-,2.0
161-1,280410001,8644,86.0,D+,2.0
161-3,050350001,5350,88.4000015258789,D+,2.0
161-6,190260001,10930,99.19999694824219,D+,3.0
161-9,250060001,7285,87.80000305175781,D+,3.0
161-A,260420001,7040,95.5999984741211,D+,2.0
162-0,120290001,6798,102.0,D+,2.0
162-1,050250001,7130,89.80000305175781,D+,2.0
162-5,320560001,3654,184.6666717529297,C+,4.0
162-7,230050001,3348,98.0,D+,2.0
162-8,270040001,860,74.25,D,2.0
163-1,250010205,24780,90.94999694824219,D+,2.0
163-2,270040001,1670,109.4000015258789,C-,3.0
163-5,120290001,5860,94.0,D+,2.0
163-7,090030001,30585,145.8000030517578,C,4.0
164-3,100070001,24950,85.86813354492188,D+,2.1432865
164-6,050020001,14005,120.04833984375,C-,2.8268476
164-8,190390001,6405,136.0,C,3.0
164-9,141200001,14156,87.25,D+,3.0
165-0,050180001,16643,113.75418853759766,C-,2.9989786
165-A,140390001,6404,89.0,D+,3.0
166-6,020040001,8938,122.96184539794922,C-,2.8821883
167-0,270040001,1116,165.5,C+,4.0
167-7,050240003,19578,56.53845977783203,D,1.0
167-9,130510078,3423,101.66666412353516,D+,3.0
167-A,040040045,14300,85.68461608886719,D+,1.4055943
168-0,080170001,11140,84.75,D+,2.0
168-4,050180001,5583,95.66666412353516,D+,3.0
168-6,150570001,22772,136.0,C,2.0
168-9,030080753,14674,122.69483184814453,C-,2.8861933
169-3,010010001,4358,128.8733367919922,C,3.3047268
169-A,270040001,3045,96.43842315673828,D+,2.0
170-0,130510096,4428,134.3333282470703,C,4.0
170-1,050180001,24412,104.11125946044922,D+,2.2815008
170-2,060070001,1528,83.5,D+,2.0
170-5,110200001,15980,121.19999694824219,C-,3.0
170-6,030080753,17995,104.2557373046875,D+,2.9441512
171-7,080190001,9865,145.1999969482422,C,3.0
171-A,151040001,27440,68.5999984741211,D,2.0
172-0,151090003,25015,96.0,D+,2.0
172-A,240280001,4251,124.33333587646484,C-,3.0
173-2,071010001,9408,85.75,D+,2.0
173-4,200670001,9705,85.0,D+,2.0
173-5,090050001,30155,117.5999984741211,C-,3.0
173-6,020040001,10895,95.4000015258789,D+,3.0
173-8,100050001,2733,160.0,C+,4.0
174-4,010010001,3924,98.40978240966797,D+,2.4311926
174-5,040020001,18174,135.1333770751953,C,3.0
174-6,240130001,12855,80.05118560791016,D+,2.563983
174-A,150330001,27260,102.4000015258789,D+,3.0
175-2,151060044,20240,76.5,D,2.0
175-5,020040001,7745,100.0,D+,2.0
176-1,230040001,4804,147.25,C,3.0
176-4,260550001,6210,126.5999984741211,C-,3.0
176-A,080190001,9800,109.80000305175781,C-,3.0
177-3,090050001,16948,105.75,C-,3.0
177-5,260020001,31232,98.375,D+,3.0
177-8,090070001,25956,99.24637603759766,D+,2.7025735
177-9,211140001,12416,148.75,C,3.0
178-8,230050001,4620,90.80000305175781,D+,2.0
179-8,211140001,12572,130.25,C,3.0
180-5,310500001,5450,137.60000610351562,C,3.0
180-A,220140001,4630,149.60000610351562,C,3.0
181-0,270040034,1240,90.75,D+,2.0
182-1,050240100,7530,34.79999923706055,D,1.0
182-2,280030122,4224,90.33333587646484,D+,2.0
182-4,090100001,20845,86.19999694824219,D+,2.0
182-6,190390001,7580,187.25,C+,4.0
182-8,250120001,6965,134.0,C,3.0
183-3,220140001,5580,109.0,C-,2.0
183-A,020040001,9085,90.5999984741211,D+,2.0
184-0,100070001,9830,73.18717956542969,D,2.0
184-3,310500001,5640,84.4000015258789,D+,2.0
184-6,100050001,5668,107.8122787475586,C-,2.0
184-7,190260001,12525,141.39999389648438,C,3.0
184-A,250060001,6160,180.5,C+,4.0
185-1,280220001,11715,113.4000015258789,C-,2.0
185-6,301930001,11580,91.19999694824219,D+,3.0
185-7,320100001,4575,78.80000305175781,D,2.0
185-8,280270001,14905,131.63877868652344,C,4.0
185-9,050350001,5740,71.5,D,2.0
186-3,190060001,20202,111.96138763427734,C-,2.602168
186-6,280220001,7488,102.0,D+,2.0
186-8,040020001,3780,105.2724838256836,C-,2.0
187-5,110170001,6562,180.0,C+,4.0
187-8,020040001,18745,89.51277923583984,D+,2.0
188-0,150580001,27015,184.3333282470703,C+,4.0
188-1,090100001,20709,161.01956176757812,C+,3.6088657
188-4,120010001,9055,79.4000015258789,D,2.0
188-8,260300001,8775,174.1999969482422,C+,4.0
188-A,300390001,8778,131.0,C,4.0
189-0,090070001,32091,89.3540267944336,D+,2.4629335
189-2,250060001,6700,139.39999389648438,C,4.0
189-5,130510141,8520,126.19999694824219,C-,4.0
189-7,020040001,6180,120.75,C-,3.0
189-9,230040001,4135,83.0,D+,2.0
190-0,150570001,20590,92.4000015258789,D+,2.0
190-4,040020001,2610,105.5999984741211,C-,2.0
190-7,301930001,7172,76.5,D,2.0
190-8,320100001,11130,78.83072662353516,D,2.0
190-9,050020001,27644,111.59846496582031,C-,3.4427001
190-A,270040001,1395,65.80000305175781,D,2.0
191-0,071010001,13970,74.80000305175781,D,2.0
191-1,301930001,11700,127.80000305175781,C-,3.0
191-2,140390001,13220,84.5,D+,3.0
191-3,090100001,21300,118.0,C-,3.0
191-8,010010982,8167,110.53410339355469,C-,2.5981388
192-9,270040001,1445,95.4000015258789,D+,2.0
193-3,050350001,6245,99.0,D+,3.0
193-6,110200001,21560,113.19930267333984,C-,2.5554266
193-7,010012408,9342,114.80025482177734,C-,2.8289444
193-8,040020001,15980,101.0419921875,D+,2.5245306
194-1,050300001,7035,134.39999389648438,C,3.0
194-6,320100001,3932,91.75,D+,3.0
195-0,240280001,7912,162.00796508789062,C+,3.870197
195-7,040020001,1944,109.25,C-,4.0
195-A,280030001,11100,70.19999694824219,D,3.0
196-A,190260001,11395,98.0,D+,2.0
197-0,090050001,13210,115.5999984741211,C-,3.0
197-2,190390001,8410,76.80000305175781,D,2.0
197-3,140970822,30912,92.5625,D+,2.0
197-5,220140001,4780,116.19999694824219,C-,3.0
197-6,040020001,2148,149.25,C,4.0
198-2,100070001,2792,70.25,D,2.0
198-6,270040176,7410,98.15789794921875,D+,2.0
198-8,120010697,28800,63.6875,D,1.0
198-9,130480001,8090,78.80000305175781,D,2.0
199-1,150570001,29945,93.5999984741211,D+,2.0
199-8,030030001,1924,142.75,C,4.0
199-A,150330001,29965,101.5999984741211,D+,3.0
200-4,280320001,6295,119.19999694824219,C-,3.0
201-0,150570001,27045,116.0,C-,3.0
201-6,100070001,3405,98.4000015258789,D+,3.0
201-7,030030001,3940,113.82233428955078,C-,3.0
202-2,140390001,20302,125.24322509765625,C-,3.0
202-3,320170001,2948,114.0,C-,2.0
202-5,260180001,6256,113.5,C-,3.0
203-0,100050001,8540,156.48150634765625,C+,3.5386417
203-2,220140001,5095,131.1999969482422,C,3.0
203-5,100070001,3452,144.25,C,4.0
203-8,230050001,3168,111.75,C-,2.0
204-2,180170001,38640,81.11061096191406,D+,2.1322982
204-6,190260001,10005,160.0,C+,3.0
204-8,260290001,17476,149.87342834472656,C,2.685626
205-2,040020001,13448,104.1204605102539,D+,2.8649614
205-5,030030001,1725,112.19999694824219,C-,3.0
205-6,280410001,11452,138.5,C,4.0
205-7,310500117,14518,57.117645263671875,D,1.0
