cve_ageb,ubica_geo,records,points,nse,est_socio
014-3,150230001,38071,92.40154266357422,D+,2.226314
014-4,110270001,18472,72.24978637695312,D,2.0
014-5,220050001,40015,107.44747924804688,C-,2.3105085
014-6,060100001,18406,115.50516510009766,C-,2.2106922
014-7,170040042,16596,47.38888931274414,D,1.0
014-8,070270001,36447,94.82048034667969,D+,2.2995033
014-9,150580001,22853,75.01102447509766,D,2.0
014-A,151090025,26008,117.25,C-,3.0
015-1,210150001,13172,112.91747283935547,C-,2.0
015-5,311010006,14904,45.27777862548828,D,1.0
015-6,030090001,7480,87.80000305175781,D+,2.0
015-7,220060001,5985,156.1999969482422,C+,4.0
015-8,010050001,98744,90.60945129394531,D+,2.0
015-9,203970001,32547,86.63157653808594,D+,2.0
015-A,150310001,44160,81.70640563964844,D+,2.0
016-1,220060001,50946,77.14603424072266,D,1.1720645
016-2,050130001,45687,99.72633361816406,D+,2.2143936
016-3,280340091,23030,58.0,D,1.0
016-4,071140012,55944,56.9762077331543,D,1.334674
016-5,110140340,43624,67.2631607055664,D,1.0
016-6,170040049,12624,99.625,D+,2.0
016-7,300440001,12210,60.0,D,2.0
016-9,140350416,61180,78.03974914550781,D,1.7404708
016-A,070890001,26196,108.6794204711914,C-,2.0
017-0,150810019,31025,100.4000015258789,D+,3.0
017-1,040010007,7360,48.900001525878906,D,1.0
017-2,270170078,7560,55.349998474121094,D,1.0
017-4,090170001,19810,83.3052978515625,D+,2.1342757
017-5,141240001,54672,107.9621353149414,C-,2.9333847
017-6,090040001,21488,116.75,C-,3.0
017-8,120300005,55813,41.985130310058594,D,1.0
017-9,130770080,25808,89.5,D+,1.0
017-A,090150001,25828,113.25077056884766,C-,2.8133807
018-0,100050001,102407,49.02914810180664,D,1.0850723
018-2,040110344,65784,122.92759704589844,C-,2.731941
018-3,090030001,49085,132.04119873046875,C,3.0788429
018-4,240130126,23009,65.7368392944336,D,1.0
018-5,301290001,84360,84.5,D+,2.0
018-6,290430008,1465,113.19999694824219,C-,2.0
018-7,060040001,95888,92.68230438232422,D+,1.8183819
018-8,150330001,62239,96.4254379272461,D+,2.0788734
018-9,060070001,1300,100.5,D+,2.0
018-A,180040112,19096,93.22077941894531,D+,2.5324676
019-0,270050001,8762,136.72335815429688,C,2.6861448
019-1,070650153,219337,63.89332962036133,D,1.49832
019-2,290250001,12807,75.81986236572266,D,1.4834856
019-3,020040001,7630,93.5999984741211,D+,2.0
019-4,090080001,20405,120.5999984741211,C-,3.0
019-6,160840020,40196,70.30803680419922,D,1.4118818
019-7,040111402,33602,56.698055267333984,D,1.0
019-8,290440001,18144,82.25733184814453,D+,2.0
019-9,110140587,14354,54.82638931274414,D,1.0
019-A,110310001,5445,98.0,D+,2.0
020-0,211610005,41820,73.5999984741211,D,1.0
020-1,110140186,69672,58.1429557800293,D,1.535825
020-2,100330001,14706,89.0,D+,2.0
020-3,190490001,17160,94.9670181274414,D+,3.0
020-4,010030001,21591,110.28345489501953,C-,2.0
020-5,120020011,39077,47.05842208862305,D,1.1894464
020-6,180080001,1916,111.5,C-,2.0
020-8,220060001,11659,84.80513000488281,D+,2.0
020-9,130480001,25161,118.42526245117188,C-,2.173602
020-A,060020109,9802,85.90593719482422,D+,2.0
021-0,180080001,9571,114.7402572631836,C-,2.655731
021-2,280260003,32660,72.30000305175781,D,1.0
021-3,290410001,13298,140.5232391357422,C,2.7978644
021-4,040110355,5724,77.16666412353516,D,1.0
021-5,150100001,100852,91.89473724365234,D+,2.0
021-6,170290005,52483,93.93803405761719,D+,2.0
021-7,150290001,23692,105.0,C-,2.0
022-1,210410008,10080,107.19999694824219,C-,2.0
022-2,301930001,11620,126.0,C-,2.0
022-3,230090051,18140,58.226680755615234,D,1.5237045
022-4,110460001,57006,85.66666412353516,D+,2.0
022-6,240320001,24361,108.47058868408203,C-,2.0
022-7,100050001,38874,69.42697143554688,D,1.6438236
022-8,180120042,8946,68.27777862548828,D,1.0
023-0,080570001,13860,82.16666412353516,D+,2.0
023-1,141200001,16815,88.80000305175781,D+,3.0
023-2,100220010,58349,87.70709228515625,D+,1.7919416
023-3,151000007,22705,74.5999984741211,D,2.0
023-4,160500001,67472,78.48397827148438,D,2.0
023-6,060010007,7220,77.0,D,2.0
023-7,110170001,12270,92.0,D+,2.0
023-8,090140001,74274,133.34127807617188,C,2.9083662
023-9,270130016,1600,92.0,D+,2.0
024-0,160690001,45693,93.79933166503906,D+,2.0
024-1,040010010,6308,52.105262756347656,D,1.0
024-2,240280001,6795,97.80000305175781,D+,2.0
024-3,270080084,13050,75.47716522216797,D,1.0965518
024-4,180080001,28056,70.24315643310547,D,1.1374394
024-5,150990001,35358,85.21686553955078,D+,2.2130494
024-7,010050001,9760,77.8896484375,D,1.6362705
024-8,290320007,2295,80.80000305175781,D+,2.0
024-9,270060044,8417,78.57110595703125,D,1.3498871
024-A,060100001,1960,133.39999389648438,C,3.0
025-0,220110073,29195,77.16577911376953,D,1.2281213
025-5,070990001,70837,72.56145477294922,D,1.4107599
025-6,010070030,65198,100.65821075439453,D+,1.7038252
025-7,120110027,31206,102.72159576416016,D+,2.1430173
025-8,180170001,16770,64.8246841430664,D,1.2647585
025-9,190060001,7788,161.0,C+,3.0
025-A,090130001,21610,82.80000305175781,D+,3.0
026-0,090020001,11070,120.0,C-,3.0
026-1,080210001,27390,82.46261596679688,D+,1.8834611
026-2,270130069,4280,57.02056121826172,D,2.0
026-6,150020015,43445,88.90965270996094,D+,2.0
026-7,040110342,11950,82.48954010009766,D+,1.4435146
026-9,120280077,54269,69.84497833251953,D,1.4019791
026-A,110310001,25754,103.11089324951172,D+,2.150035
027-2,050370001,17746,83.57894897460938,D+,2.0
027-5,090020001,55100,99.1859130859375,D+,2.4384756
027-6,090140001,64525,106.99272918701172,C-,2.2525532
027-7,230050001,6900,97.27391052246094,D+,2.5884058
027-9,151220001,25120,88.5999984741211,D+,2.0
027-A,090040001,12830,93.80000305175781,D+,2.0
028-1,160520001,35676,80.38888549804688,D+,2.0
028-2,070890179,96143,83.81640625,D+,1.7352693
028-3,250040001,26201,97.15789794921875,D+,2.0
028-4,320420041,8943,82.36363983154297,D+,2.0
028-5,100220009,11033,90.35294342041016,D+,2.0
028-6,010010001,6076,152.71131896972656,C,4.0
028-7,060090025,50277,106.71685028076172,C-,2.0
028-8,020020001,56104,90.40802764892578,D+,2.1784186
028-9,150290001,39424,86.78251647949219,D+,2.0
028-A,190120211,62016,96.2631607055664,D+,2.0
029-0,010010001,33647,58.91083908081055,D,1.282789
029-1,300870001,11280,122.19999694824219,C-,3.0
029-2,020020001,28737,63.2561149597168,D,1.589484
029-3,090060001,15030,154.0,C,4.0
029-4,280190001,25441,117.2631607055664,C-,2.0
029-5,100150010,105164,67.17227172851562,D,1.2003157
029-7,080660067,15453,34.33333206176758,D,1.0
029-A,071060001,79704,86.15113067626953,D+,1.4681697
030-2,050130001,3046,98.0,D+,2.0
030-4,260550001,8235,129.8000030517578,C,3.0
030-5,270020001,7524,89.16666412353516,D+,2.0
030-6,290050001,4385,118.80000305175781,C-,3.0
030-8,220160001,3780,125.0,C-,3.0
030-9,250010001,6905,177.60000610351562,C+,4.0
030-A,270040196,6440,86.6500015258789,D+,2.0
031-0,141010001,64529,91.3658218383789,D+,2.2548466
031-3,270080047,5510,73.7368392944336,D,1.0
031-4,090170001,14475,116.0,C-,3.0
031-5,230080001,3840,63.20000076293945,D,1.0
031-6,150530026,111815,78.0526351928711,D,2.0
031-7,050130001,25047,78.37889099121094,D,2.0
031-8,060020001,1900,88.80000305175781,D+,2.0
031-9,090030001,34465,152.44839477539062,C,3.297316
031-A,060100001,2335,125.19999694824219,C-,4.0
032-0,100050001,95308,75.57421875,D,2.0349183
032-4,120540130,28314,37.55555725097656,D,1.0
032-5,290050001,2332,134.25,C,2.0
032-7,090090001,17115,83.66666412353516,D+,2.0
032-8,150330001,127988,79.66526794433594,D,2.1864862
032-9,270040129,11237,126.81329345703125,C-,2.0
032-A,170060001,30818,105.7368392944336,C-,2.1781425
033-0,240370001,24372,76.05555725097656,D,2.0
033-2,100060010,12236,62.842105865478516,D,1.0
033-6,180120001,10812,88.0,D+,2.0
033-7,010010001,6771,142.7576446533203,C,3.5606263
033-8,130820003,22096,96.375,D+,2.0
033-A,150810001,26860,70.5,D,3.0
034-0,250120001,8200,94.5999984741211,D+,3.0
034-1,060020001,34408,85.3145523071289,D+,1.2851663
034-2,100040048,8256,73.33333587646484,D,2.0
034-3,120280055,39024,44.55555725097656,D,1.0
034-4,090060001,44859,111.65904235839844,C-,2.3442788
034-5,300440001,13395,85.0,D+,2.0
034-6,100150026,7371,67.77777862548828,D,2.0
034-7,200790001,26239,91.10526275634766,D+,2.0
035-0,170070001,3588,125.25,C-,3.0
035-1,250010001,7830,117.5999984741211,C-,3.0
035-2,080660188,19985,53.54545974731445,D,1.5704278
035-3,070170001,32976,81.22222137451172,D+,2.0
035-6,150820087,62933,55.46154022216797,D,1.0
035-9,160690001,43007,140.510986328125,C,2.8366544
035-A,151060001,28160,75.0,D,2.0
036-1,090030001,44189,132.61001586914062,C,2.951549
036-2,060100001,24115,83.1137466430664,D+,2.0
036-3,090060001,10840,108.0,C-,2.0
036-5,270010044,5763,54.52941131591797,D,1.0
036-6,090050001,43352,88.82203674316406,D+,2.0543227
036-8,090080104,13901,85.23890686035156,D+,2.0
036-9,141200001,13695,136.8000030517578,C,3.0
037-0,180170001,2484,137.25,C,3.0
037-1,320340001,12384,86.5625,D+,2.0
037-3,090040001,53744,106.48294067382812,C-,3.0469635
037-4,110200001,23061,86.09644317626953,D+,2.0
037-6,090030001,34856,158.6663360595703,C+,3.3380766
037-7,170080001,6076,60.0,D,2.0
037-8,090060001,21920,132.31231689453125,C,3.4222627
037-A,050320014,40476,94.73678588867188,D+,2.84791
038-0,211140001,24262,75.87791442871094,D,2.4472837
038-1,120280001,31600,98.6875,D+,2.0
038-5,090100001,32150,90.45430755615234,D+,2.0
038-6,080660769,10454,61.22278594970703,D,1.6715133
038-7,130030014,36231,69.84786224365234,D,2.125721
038-9,110200001,16181,101.23515319824219,D+,2.0
038-A,010010001,3130,108.0,C-,3.0
039-0,270040066,9361,99.00993347167969,D+,2.0
039-1,170110001,8901,91.30030059814453,D+,2.0
039-3,190260001,8180,167.25,C+,3.0
039-6,160150001,35352,68.66666412353516,D,2.0
039-7,210150031,14140,94.5999984741211,D+,2.0
039-8,110170001,21510,107.72412872314453,C-,2.0
039-A,270080069,3250,47.20000076293945,D,1.0
040-0,040010004,21963,73.0516357421875,D,2.0
040-1,170070001,30331,137.48867797851562,C,3.3524776
040-2,260410001,43450,103.62372589111328,D+,1.7586421
040-3,270040126,4500,65.5,D,1.0
040-4,170060001,3856,101.25,D+,2.0
040-6,110200001,19042,93.93131256103516,D+,2.427056
040-7,050300001,7245,94.0,D+,2.0
040-8,211140001,7655,83.80000305175781,D+,2.0
040-9,270020001,4832,89.8125,D+,2.0
040-A,150130001,59295,176.289306640625,C+,3.6412852
041-0,301180001,11715,119.5999984741211,C-,3.0
041-1,200440001,29880,54.11111068725586,D,2.0
041-3,060100001,6530,129.3038330078125,C,3.7825422
041-6,170070001,11521,102.14582061767578,D+,2.440934
041-8,250080132,37383,70.22063446044922,D,1.9398122
042-1,100060014,19438,68.7931900024414,D,1.7109785
042-2,050140022,25376,73.32376861572266,D,2.0
042-3,080570001,35990,92.2108383178711,D+,2.8074465
042-5,301180001,11325,113.0,C-,2.0
042-6,260430001,7255,96.80000305175781,D+,3.0
042-7,250150001,41500,111.44999694824219,C-,3.0
042-8,060100001,1840,133.60000610351562,C,3.0
042-9,040100077,100583,88.2098388671875,D+,1.9653718
042-A,151060001,16557,134.6666717529297,C,3.0
043-0,010010001,22369,93.22879791259766,D+,2.6347623
043-5,070650001,38200,83.9000015258789,D+,2.0
043-6,250010001,8466,155.3737335205078,C+,2.289511
043-7,240200001,48121,91.74925994873047,D+,2.0
043-8,170060001,4180,99.5,D+,2.0
043-9,100050001,4415,143.0,C,3.0
043-A,010050023,81134,90.10679626464844,D+,2.0764167
044-1,020040001,7140,189.0,C+,4.0
044-2,190390001,25505,121.19772338867188,C-,3.5073514
044-5,110270001,8264,99.75,D+,2.0
044-8,040100124,12048,68.41201782226562,D,1.7109064
044-9,090020001,22315,152.39999389648438,C,3.0
045-0,120580105,30480,72.26667022705078,D,1.0
045-2,090110001,14980,83.4000015258789,D+,2.0
045-3,071080068,44878,64.78947448730469,D,1.0
045-4,080210001,36835,81.71309661865234,D+,2.173069
045-9,161020001,6984,131.5,C,3.0
045-A,090120001,14104,110.25,C-,3.0
046-0,060070001,40479,86.17761993408203,D+,2.2995133
046-1,090130001,42559,98.50123596191406,D+,2.0
046-2,140970025,16940,120.19999694824219,C-,3.0
046-6,240130001,6140,93.25,D+,3.0
046-9,240280001,13964,90.25923919677734,D+,2.6665711
046-A,180170001,3585,146.8000030517578,C,2.0
047-3,280410001,9548,207.75,AB,4.0
047-5,080500001,42033,111.34972381591797,C-,2.9508007
047-6,090080001,19418,83.7645492553711,D+,2.1129365
047-7,220060142,9505,128.45701599121094,C,3.043661
047-8,130480001,7700,131.60000610351562,C,3.0
047-9,280340157,8225,75.0,D,1.0
047-A,110020027,63474,74.68525695800781,D,2.0
048-0,190390001,7749,124.66666412353516,C-,4.0
048-1,230040001,4195,136.39999389648438,C,2.0
048-2,010050001,11451,161.6064910888672,C+,3.7500656
048-5,160150001,51165,92.98432159423828,D+,2.313691
048-6,150810019,180947,89.30364990234375,D+,2.1795056
048-8,320310001,15840,97.66666412353516,D+,2.0
048-9,080120173,4470,10.0,E,1.0
048-A,020040001,14033,131.9174041748047,C,2.9708545
049-3,180170001,8383,109.649169921875,C-,2.633186
049-4,110420001,51296,89.375,D+,2.0
049-6,120010001,13497,89.83855438232422,D+,2.0
049-9,130770001,5696,130.04757690429688,C,3.0
049-A,060100001,31878,90.33267211914062,D+,2.0512893
050-1,060090001,15544,87.5897445678711,D+,2.0
050-3,290100001,3090,126.5999984741211,C-,2.0
050-5,070650001,37981,93.52631378173828,D+,2.0
050-6,080120038,26820,33.72222137451172,D,1.0
050-7,310410001,8224,102.80787658691406,D+,2.0
050-8,120730059,25536,45.25,D,1.0
050-9,230040001,3388,105.5,C-,2.0
050-A,010050001,24322,100.82332611083984,D+,2.3803964
051-0,180170001,6875,111.76072692871094,C-,2.4996364
051-1,190480001,20545,103.28585815429688,D+,2.807739
051-2,170060001,8800,104.11158752441406,D+,2.0
051-3,170180001,8188,113.23815155029297,C-,2.5886664
051-5,220140001,3608,136.25,C,3.0
051-9,090020001,17325,106.5999984741211,C-,3.0
051-A,150580001,33523,102.99579620361328,D+,2.101065
052-1,060100001,2105,83.19999694824219,D+,2.0
052-2,090060001,34740,116.19153594970703,C-,3.330167
052-4,080210001,18919,97.50203704833984,D+,2.5193193
052-6,310410001,3440,45.5,D,1.0
052-9,130480001,14404,135.58233642578125,C,2.686476
052-A,060020001,6975,98.90078735351562,D+,2.6982079
053-2,170180001,3870,102.0,D+,2.0
